cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,11,155452644,6,60.0,4,jittery,0.4,0.5,2.5,1.0,0.75,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,0.8333333333333334,0.7575757575757576,1.0,1.5,4,4,0,4.0,4.0,9.41135984659195,6,60.0,4,0.24898312500000003,0.3526666666666667,0.695993185043335,0.943864875,0.7798333333333334,0.5824270248413086,0.943864875,0.69488175,5,,0.9,ok,64.09175539016724,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,11,155452644,6,60.0,4,jittery,0.4,0.5,2.0,1.0,0.5,0.25,0.0,1.0,0.9950248756218906,2.5812908992306927,0.8333333333333334,0.6666666666666666,1.0,1.5,4,4,0,4.0,4.0,9.713597238063812,6,60.0,4,0.24898312500000003,0.3526666666666667,0.695993185043335,0.9487866875,0.8603333333333333,0.5679928064346313,0.9487866875,0.6998035624999999,5,,0.9,ok,63.53483748435974,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,12,2965768413,6,60.0,4,jittery,0.4,0.5,1.25,0.75,0.5,0.0,0.0,1.0,0.9959349593495935,2.5818968599143517,0.6666666666666666,0.5952380952380952,0.75,2.0,2,4,0,3.0,2.25,8.8382608294487,6,60.0,4,0.272618,0.35633333333333334,0.6958786845207214,0.8642388125000001,0.8066666666666666,0.6689460277557373,0.8642388125000001,0.5916208125000001,3,,0.9,ok,60.67010736465454,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,12,2965768413,6,60.0,4,jittery,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,125.79782271385193,"experiments.exp4.driver.Exp4TrialTimeout: exp4 trial exceeded 120s budget (cell=N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0, trial=12); orchestrator killed"
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,13,2746135771,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.9959349593495935,2.5818968599143517,0.3333333333333333,0.3333333333333333,0.5,1.5,0,4,0,4.0,2.0,9.372562944889069,6,60.0,4,0.2791208125,0.357,0.6958795785903931,0.2791208125,0.357,0.6958795785903931,0.2791208125,0.0,1,,0.9,ok,51.5727276802063,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,13,2746135771,6,60.0,4,jittery,0.4,0.5,1.25,0.5,0.5,0.25,0.0,1.0,0.994824016563147,2.581358330499424,0.6666666666666666,0.5952380952380952,0.5,1.5,2,4,0,4.0,1.75,10.183529376983643,6,60.0,4,0.2791208125,0.357,0.6958795785903931,0.8756235625,0.7611666666666667,0.6682157516479492,0.8756235625,0.59650275,3,,0.9,ok,59.84179973602295,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,14,2309662305,6,60.0,4,jittery,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,error,125.0337586402893,"experiments.exp4.driver.Exp4TrialTimeout: exp4 trial exceeded 120s budget (cell=N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0, trial=14); orchestrator killed"
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,14,2309662305,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,2.584962500721156,0.16666666666666666,0.16666666666666666,0.5,2.0,2,4,0,3.0,1.5,8.557395935058594,6,60.0,4,0.2781938125,0.3581666666666667,0.6958943009376526,0.8365485625,0.7733333333333333,0.6750462055206299,0.8365485625,0.5583547499999999,3,,0.9,ok,53.36719298362732,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,15,2103591158,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.0,0.0,1.0,0.994824016563147,2.581358330499424,0.3333333333333333,0.3,0.5,1.5,2,4,0,4.0,2.0,7.754298448562622,6,60.0,4,0.2454684375,0.35733333333333334,0.6960239410400391,0.84111225,0.736,0.6676889657974243,0.84111225,0.5956438125,3,,0.9,ok,48.33475732803345,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,15,2103591158,6,60.0,4,jittery,0.4,0.5,1.75,0.75,0.5,0.25,0.0,1.0,0.9959349593495935,2.581896859914352,0.6666666666666666,0.5444444444444444,0.75,1.6,3,4,0,3.75,2.5,8.212658941745758,6,60.0,4,0.2454684375,0.35733333333333334,0.6960239410400391,0.9188771249999999,0.8296666666666667,0.6520071029663086,0.9188771249999999,0.6734086874999998,4,,0.9,ok,52.45689558982849,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,16,3243895672,6,60.0,4,jittery,0.4,0.5,2.0,0.75,0.5,0.25,0.0,1.0,0.9941176470588236,2.5806899528060816,0.8333333333333334,0.6666666666666666,0.75,1.5,3,4,0,4.0,3.0,9.761759996414185,6,60.0,4,0.29580062500000004,0.35683333333333334,0.6958116292953491,0.9364005625,0.7931666666666667,0.6235802173614502,0.9364005625,0.6405999375,4,,0.9,ok,103.22527050971985,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,16,3243895672,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.994824016563147,2.5813583304994236,0.3333333333333333,0.3333333333333333,0.5,1.5,2,4,0,4.0,2.0,9.065178632736206,6,60.0,4,0.29580062500000004,0.35683333333333334,0.6958116292953491,0.882552375,0.7766666666666666,0.6722639203071594,0.882552375,0.5867517499999999,3,,0.9,ok,52.492494344711304,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,17,260076146,6,60.0,4,jittery,0.4,0.5,2.25,1.0,0.75,0.25,0.0,1.0,0.9970344009489917,2.5827423149511795,0.8333333333333334,0.7941176470588235,1.0,1.5,4,4,0,4.0,4.0,10.52821433544159,6,60.0,4,0.275798875,0.3576666666666667,0.6958874464035034,0.9404029375,0.8231666666666667,0.59234619140625,0.9404029375,0.6646040625,5,,0.9,ok,55.265788555145264,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,17,260076146,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.0,0.0,1.0,0.9941176470588236,2.580689952806082,0.5,0.5,0.5,1.5,2,4,0,4.0,2.0,10.433351993560791,6,60.0,4,0.275798875,0.3576666666666667,0.6958874464035034,0.8645848749999999,0.7686666666666667,0.666009783744812,0.8645848749999999,0.5887859999999999,3,,0.9,ok,56.39299297332764,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,18,1209378078,6,60.0,4,jittery,0.4,0.5,1.75,0.75,0.5,0.5,0.0,1.0,0.9959349593495935,2.581896859914352,0.6666666666666666,0.5444444444444444,0.75,2.0,3,4,0,3.0,2.25,10.174005806446075,6,60.0,4,0.25021668750000003,0.359,0.6959874629974365,0.9344406875,0.8846666666666667,0.6403578519821167,0.9344406875,0.6842239999999999,4,,0.9,ok,55.31405711174011,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,18,1209378078,6,60.0,4,jittery,0.4,0.5,2.5,1.0,1.0,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,1.0,0.8333333333333334,1.0,2.0,4,4,0,3.0,3.0,9.023555159568787,6,60.0,4,0.25021668750000003,0.359,0.6959874629974365,0.9531410625,0.7963333333333333,0.556963324546814,0.9531410625,0.7029243749999999,5,,0.9,ok,55.99160718917847,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,19,469940108,6,60.0,4,jittery,0.4,0.5,2.25,0.75,0.75,0.5,0.0,1.0,0.9941176470588236,2.580689952806082,0.8333333333333334,0.7105263157894737,0.75,1.6,3,4,0,3.75,2.5,8.505038022994995,6,60.0,4,0.25858175,0.3541666666666667,0.6959366202354431,0.8928660625,0.8283333333333334,0.6442984938621521,0.8928660625,0.6342843125,4,,0.9,ok,63.81060194969177,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,19,469940108,6,60.0,4,jittery,0.4,0.5,2.5,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7575757575757576,1.0,1.5,4,4,0,4.0,3.75,8.78775405883789,6,60.0,4,0.25858175,0.3541666666666667,0.6959366202354431,0.950940125,0.9061666666666667,0.5487143397331238,0.950940125,0.692358375,5,4,0.9,ok,47.18498635292053,
